Pais;Ecoregion;Km total;Species;size;distance
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;2;40
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;14;150
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;2;160
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;4;100
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;12;90
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;6;80
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;52;70
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;16;50
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;2;40
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;6;168
Argentina;Patagonian steppe;1302,56;Cyanoliseus patagonus;20;90
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;46;30
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;17;30
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;34;120
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;2;35
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;26;303
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;11;150
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;15;150
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;44;90
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;4;70
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;12;160
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;4;168
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;2;90
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;40;40
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;16;30
Argentina;Patagonian steppe;1302,56;Enicognathus ferrugineus;60;60
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;7;80
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;90;50
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;8;30
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;8;70
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;1;40
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;40;40
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;8;40
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;5;80
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;70
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;80
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;1;100
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;30;50
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;25;70
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;70
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;75;175
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;245
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;1;280
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;220
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;4;100
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;1;90
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;1;60
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;10;50
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;12;120
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;35
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;35
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;22;25
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;4;150
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;50
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;3;100
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;30
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;120
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;3;120
Argentina;Valdivian temperate forests;4661,64;Enicognathus ferrugineus;2;60
