"Country","Ecoregion","Species","Km","Count","Encounters_(<=500m)","Group_sizeXdistance_cor_test_p","DS_cutpoints","Detection_probability","Detection_function","GoF_DS_Xsq","N_(count/p)","D_(N/Km)","Group_size_beta"
"Argentina","Central Andean puna","Psittacara mitratus",78,228,14,0.93,"25m",0.2,"half-normal key function with cosine(2,3,4) adjustments",0.121970005900299,1140,14.62,"-"
"Argentina","Dry Chaco","Amazona aestiva",910.7,108,15,0.05,"100m",0.16,"half-normal key function",0.997709669558741,675,0.74,"-"
"Argentina","Dry Chaco","Myiopsitta monachus",910.7,460,152,0.58,"100m",0.1,"half-normal key function",0.999999702495562,4600,5.05,"-"
"Argentina","Dry Chaco","Thectocercus acuticaudatus",910.7,291,63,0.28,"100m",0.15,"half-normal key function",0.000719998847022674,1940,2.13,"-"
"Argentina","Espinal","Cyanoliseus patagonus",821.6,1051,63,0.17,"50m",0.37,"half-normal key function with cosine(2) adjustments",0.974136900255139,2840.54,3.46,"-"
"Argentina","Espinal","Myiopsitta monachus",821.6,306,86,0.33,"50m",0.15,"half-normal key function with cosine(2,3) adjustments",0.00874120049407756,2040,2.48,"-"
"Argentina","High Monte","Cyanoliseus patagonus",529.4,1539,79,0.41,"50m",0.16,"half-normal key function with cosine(2,3,4,5) adjustments",0.0477548124820207,9618.75,18.17,"-"
"Argentina","Humid Chaco","Myiopsitta monachus",770.2,313,96,0.65,"100m",0.18,"half-normal key function",0.154095887750576,1738.89,2.26,"-"
"Argentina","Humid Chaco","Thectocercus acuticaudatus",770.2,50,11,0.73,"25m",0.18,"half-normal key function",0.99981535674146,277.78,0.36,"-"
"Argentina","Humid Pampas","Cyanoliseus patagonus",791.8,610,18,0.34,"50m",0.23,"half-normal key function with cosine(2) adjustments",0.329264393548469,2652.17,3.35,"-"
"Argentina","Humid Pampas","Myiopsitta monachus",791.8,456,96,0,"50m",0.15,"half-normal key function with cosine(2,3) adjustments",0.330382401252211,3040,3.84,"-"
"Argentina","Patagonian steppe","Cyanoliseus patagonus",1302.56,136,11,0.92,"100m",0.24,"half-normal key function",0.809417035413844,566.67,0.44,"-"
"Argentina","Patagonian steppe","Enicognathus ferrugineus",1302.56,333,15,0.37,"50m",0.33,"half-normal key function",0.448289077146443,1009.09,0.77,"-"
"Argentina","Southern Andean Yungas","Pionus maximiliani",441.7,122,40,0.9,"50m",0.18,"half-normal key function with cosine(2,3,4) adjustments",0.00555075445957742,677.78,1.53,"-"
"Argentina","Southern Andean Yungas","Psittacara leucophthalmus",441.7,77,21,0.85,"25m",0.15,"half-normal key function",0.999994348315356,513.33,1.16,"-"
"Argentina","Southern Andean Yungas","Psittacara mitratus",441.7,333,23,0.79,"100m",0.29,"half-normal key function with cosine(2) adjustments",0.0648465155996094,1148.28,2.6,"-"
"Argentina","Southern Andean Yungas","Pyrrhura molinae",441.7,58,8,0.37,"25m",0.09,"half-normal key function",0.999999969401221,644.44,1.46,"-"
"Argentina","Valdivian temperate forests","Enicognathus ferrugineus",4661.64,5013,203,0.68,"100m",0.27,"half-normal key function with cosine(2) adjustments",0.847800969817163,18566.67,3.98,"-"
"Australia","Cape York Peninsula tropical savanna","Eolophus roseicapilla",401.5,121,39,0.5,"50m",0.11,"half-normal key function",0.999999940193622,1100,2.74,"-"
"Australia","Cape York Peninsula tropical savanna","Trichoglossus haematodus",401.5,64,20,0.01,"50m",0.1,"half-normal key function",0.999869878444786,640,1.59,"-"
"Australia","Eastern Australian temperate forests","Cacatua galerita",149.25,161,12,0.08,"50m",0.59,"half-normal key function",0.433071421768548,272.88,1.83,"-"
"Australia","Eastern Australian temperate forests","Eolophus roseicapilla",149.25,128,18,0.36,"50m",0.26,"half-normal key function with cosine(2) adjustments",0.112853242569942,492.31,3.3,"-"
"Australia","Eastern Australian temperate forests","Trichoglossus chlorolepidotus",149.25,73,13,0.18,"25m",0.19,"half-normal key function",0.741271450083737,384.21,2.57,"-"
"Australia","Eastern Australian temperate forests","Trichoglossus haematodus",149.25,143,11,0.24,"100m",0.15,"half-normal key function",0.999805567362274,953.33,6.39,"-"
"Australia","Einasleigh upland savanna","Eolophus roseicapilla",173,261,21,0.33,"25m",0.14,"half-normal key function",0.999974861347982,1864.29,10.78,"-"
"Bolivia","Beni savanna","Alipiopsitta xanthops",1148.76,77,10,0.33,"25m",0.17,"half-normal key function",0.9558939486217,452.94,0.39,"-"
"Bolivia","Beni savanna","Amazona aestiva",1148.76,50,27,0.62,"50m",0.3,"half-normal key function",0.4713286076489,166.67,0.15,"-"
"Bolivia","Beni savanna","Amazona amazonica",1148.76,155,44,0.83,"25m",0.3,"half-normal key function with cosine(2) adjustments",0.395063546094017,516.67,0.45,"-"
"Bolivia","Beni savanna","Amazona ochrocephala",1148.76,41,21,0.88,"50m",0.3,"half-normal key function with cosine(2) adjustments",0.468351357824396,136.67,0.12,"-"
"Bolivia","Beni savanna","Ara ararauna",1148.76,241,77,0.06,"100m",0.42,"half-normal key function",0.661600108764914,573.81,0.5,"-"
"Bolivia","Beni savanna","Ara chloropterus",1148.76,49,17,0.92,"25m",0.3,"half-normal key function",0.943896843720755,163.33,0.14,"-"
"Bolivia","Beni savanna","Ara severus",1148.76,369,139,0.79,"50m",0.27,"half-normal key function with cosine(2) adjustments",0.718696356229676,1366.67,1.19,"-"
"Bolivia","Beni savanna","Aratinga weddellii",1148.76,397,63,0.07,"100m",0.21,"half-normal key function with cosine(2) adjustments",0.424566716541613,1890.48,1.65,"-"
