"Country","Ecoregion","Species","Km","Count","Encounters_(<=500m)","Group_sizeXdistance_cor_test_p","DS_cutpoints","Detection_probability","Detection_function","GoF_DS_Xsq","N_(count/p)","D_(N/Km)","Group_size_beta"
"Argentina","Central Andean puna","Psittacara mitratus",78,228,14,0.93,"100m",0.03,"hazard-rate key function",1.62370322742845,7600,97.44,"-"
"Argentina","Dry Chaco","Amazona aestiva",910.7,108,15,0.05,"100m",0.16,"half-normal key function",0.0423703458765376,675,0.74,"-"
"Argentina","Dry Chaco","Myiopsitta monachus",910.7,460,152,0.58,"100m",0.1,"half-normal key function",0.000107760381694403,4600,5.05,"-"
"Argentina","Dry Chaco","Thectocercus acuticaudatus",910.7,291,63,0.28,"25m",0.1,"hazard-rate key function",11.0549259776109,2910,3.2,"-"
"Argentina","Espinal","Cyanoliseus patagonus",821.6,1051,63,0.17,"50m",0.42,"hazard-rate key function",1.19089303046904,2502.38,3.05,"-"
"Argentina","Espinal","Myiopsitta monachus",821.6,306,86,0.33,"50m",0.14,"hazard-rate key function",8.21543911185272,2185.71,2.66,"-"
"Argentina","High Monte","Cyanoliseus patagonus",529.4,1539,79,0.41,"100m",0.03,"hazard-rate key function",1.06427679535343,51300,96.9,"-"
"Argentina","Humid Chaco","Myiopsitta monachus",770.2,313,96,0.65,"25m",0.1,"hazard-rate key function",11.9816297984763,3130,4.06,"-"
"Argentina","Humid Chaco","Thectocercus acuticaudatus",770.2,50,11,0.73,"25m",0.18,"half-normal key function",3.86392356893296,277.78,0.36,"-"
"Argentina","Humid Pampas","Cyanoliseus patagonus",791.8,610,18,0.34,"50m",0.26,"hazard-rate key function",8.76838931436837,2346.15,2.96,"-"
"Argentina","Humid Pampas","Myiopsitta monachus",791.8,456,96,0,"100m",0.08,"hazard-rate key function",0.64506373506923,5700,7.2,"-"
"Argentina","Patagonian steppe","Cyanoliseus patagonus",1302.56,136,11,0.92,"100m",0.24,"half-normal key function",0.966252666288574,566.67,0.44,"-"
"Argentina","Patagonian steppe","Enicognathus ferrugineus",1302.56,333,15,0.37,"50m",0.33,"half-normal key function",7.84968986728945,1009.09,0.77,"-"
"Argentina","Southern Andean Yungas","Pionus maximiliani",441.7,122,40,0.9,"25m",0.09,"hazard-rate key function",19.0479227688583,1355.56,3.07,"-"
"Argentina","Southern Andean Yungas","Psittacara leucophthalmus",441.7,77,21,0.85,"25m",0.15,"half-normal key function",2.44622906300232,513.33,1.16,"-"
"Argentina","Southern Andean Yungas","Psittacara mitratus",441.7,333,23,0.79,"50m",0.11,"hazard-rate key function",8.38739968747461,3027.27,6.85,"-"
"Argentina","Southern Andean Yungas","Pyrrhura molinae",441.7,58,8,0.37,"25m",0.09,"half-normal key function",1.29380634449768,644.44,1.46,"-"
"Argentina","Valdivian temperate forests","Enicognathus ferrugineus",4661.64,5013,203,0.68,"100m",0.27,"half-normal key function with cosine(2) adjustments",0.330218711748547,18566.67,3.98,"-"
"Australia","Cape York Peninsula tropical savanna","Eolophus roseicapilla",401.5,121,39,0.5,"50m",0.11,"half-normal key function",0.0697100491037483,1100,2.74,"-"
"Australia","Cape York Peninsula tropical savanna","Trichoglossus haematodus",401.5,64,20,0.01,"50m",0.09,"half-normal key function with group size covariate",2.56304705784757,711.11,1.77,"0.14"
"Australia","Eastern Australian temperate forests","Cacatua galerita",149.25,161,12,0.08,"50m",0.61,"uniform key function with cosine(1) adjustments",7.19429272985925,263.93,1.77,"-"
"Australia","Eastern Australian temperate forests","Eolophus roseicapilla",149.25,128,18,0.36,"100m",0.02,"hazard-rate key function",1.7946782747928,6400,42.88,"-"
"Australia","Eastern Australian temperate forests","Trichoglossus chlorolepidotus",149.25,73,13,0.18,"25m",0.19,"half-normal key function",13.8118512629284,384.21,2.57,"-"
"Australia","Eastern Australian temperate forests","Trichoglossus haematodus",149.25,143,11,0.24,"25m",0.22,"hazard-rate key function",1.99999282729737,650,4.36,"-"
"Australia","Einasleigh upland savanna","Eolophus roseicapilla",173,261,21,0.33,"25m",0.14,"half-normal key function",2.96183302589105,1864.29,10.78,"-"
"Bolivia","Beni savanna","Alipiopsitta xanthops",1148.76,77,10,0.33,"25m",0.17,"half-normal key function",9.16106759041255,452.94,0.39,"-"
"Bolivia","Beni savanna","Amazona aestiva",1148.76,50,27,0.62,"50m",0.3,"half-normal key function",7.62110229213968,166.67,0.15,"-"
"Bolivia","Beni savanna","Amazona amazonica",1148.76,155,44,0.83,"100m",0.36,"hazard-rate key function",0.61811265519368,430.56,0.37,"-"
"Bolivia","Beni savanna","Amazona ochrocephala",1148.76,41,21,0.88,"50m",0.3,"half-normal key function with cosine(2) adjustments",6.63037699604729,136.67,0.12,"-"
"Bolivia","Beni savanna","Ara ararauna",1148.76,241,77,0.06,"100m",0.42,"half-normal key function",1.59026088806423,573.81,0.5,"-"
"Bolivia","Beni savanna","Ara chloropterus",1148.76,49,17,0.92,"50m",0.41,"hazard-rate key function",1.42912265074004,119.51,0.1,"-"
"Bolivia","Beni savanna","Ara severus",1148.76,369,139,0.79,"50m",0.32,"hazard-rate key function",1.83315147415834,1153.12,1,"-"
"Bolivia","Beni savanna","Aratinga weddellii",1148.76,397,63,0.07,"100m",0.22,"hazard-rate key function",1.04052270980339,1804.55,1.57,"-"
"Bolivia","Beni savanna","Brotogeris chiriri",1148.76,752,171,0.97,"100m",0.23,"half-normal key function with cosine(2) adjustments",1.93766959649741,3269.57,2.85,"-"
"Bolivia","Beni savanna","Diopsittaca cumanensis",1148.76,58,17,0.39,"100m",0.34,"half-normal key function",1.51692536527743,170.59,0.15,"-"
"Bolivia","Beni savanna","Eupsittula aurea",1148.76,995,203,0,"100m",0.21,"hazard-rate key function with group size covariate",1.06309165015076,4738.1,4.12,"4.26"
"Bolivia","Beni savanna","Forpus xanthopterygius",1148.76,349,84,0.65,"25m",0.08,"hazard-rate key function",7.48849912525347,4362.5,3.8,"-"
"Bolivia","Beni savanna","Orthopsittaca manilatus",1148.76,227,63,0.89,"100m",0.49,"half-normal key function",1.96959342900237,463.27,0.4,"-"
"Bolivia","Beni savanna","Pionus maximiliani",1148.76,30,13,0.94,"25m",0.32,"half-normal key function",12.8329759459868,93.75,0.08,"-"
"Bolivia","Beni savanna","Pionus menstruus",1148.76,29,12,0.43,"100m",0.14,"half-normal key function",0.00652928863329891,207.14,0.18,"-"
"Bolivia","Beni savanna","Primolius auricollis",1148.76,185,39,0.62,"100m",0.23,"half-normal key function",0.0697079727969077,804.35,0.7,"-"
"Bolivia","Beni savanna","Psittacara leucophthalmus",1148.76,119,44,0.04,"100m",0.28,"half-normal key function",1.9879171307908,425,0.37,"-"
"Bolivia","Bolivian montane dry forests","Amazona aestiva",1094.36,72,21,0.44,"100m",0.61,"uniform key function with cosine(1) adjustments",2.13583816919478,118.03,0.11,"-"
"Bolivia","Bolivian montane dry forests","Ara rubrogenys",1094.36,357,28,0.11,"100m",0.54,"uniform key function with cosine(1) adjustments",9.73715769838655,661.11,0.6,"-"
"Bolivia","Bolivian montane dry forests","Brotogeris chiriri",1094.36,282,22,0.11,"100m",0.45,"half-normal key function",1.0340261572195,626.67,0.57,"-"
"Bolivia","Bolivian montane dry forests","Myiopsitta luchsi",1094.36,784,48,0.28,"100m",0.17,"hazard-rate key function",0.537158087515424,4611.76,4.21,"-"
